"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"ANR-TestSearch","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-23 16:00:38","21.2","0.0","105.2","0.0"
"ANR-TestDev","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-23 16:00:38","34.8","0.0","248.9","0.0"
"ANR-TestCapture","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-23 16:00:38","23.2","0.0","86.9","0.0"
"ANR-MARS","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-23 16:00:38","119.4","0.0","1344.2","0.0"
"ANR-TestSP","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-23 16:00:38","135.4","0.0","3011.3","0.0"
"ANR-testweb","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-23 16:00:39","210.2","0.0","213.0","0.0"
"ANR-TestSQL","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-24 04:48:31","610.4","0.0","16202.5","0.0"
"ANR-TestApps","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-23 16:00:38","34.0","0.0","235.0","0.0"
"Vshield-Edge-eamigtest-0","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"Vshield-Edge-eamigtest-1","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"ACCD-CDS","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-24 04:48:26","52.7","0.0","329.7","0.0"
"ACCD-CVT-PROD","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-24 04:48:28","18.0","0.0","152.3","0.0"
"ACCD-DHCD","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-24 04:48:29","631.2","0.0","688.0","0.0"
"ACCDDEV","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-24 04:48:31","114.0","0.0","704.6","0.0"
"ACCD-CMS","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-24 04:48:25","39.2","0.0","132.4","0.0"
"ACCD-CVT-QA","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-24 04:48:26","21.1","0.0","178.5","0.0"
"ACCD-SQL-Prod","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-24 04:48:31","186.1","0.0","2002.0","0.0"
"ACCD-SQL-QA","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-24 04:48:33","116.5","0.0","1194.3","0.0"
"ERP-PSRECCAT02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Day","2018-10-22 17:29:32","6204.0","0.0","-201754.1","0.0"
"vShield-Edge-EX-0","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"vShield-Edge-EX-1","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
