Object Name,Object Type,Location,Cluster Location,SLA Domain,Organization,Data Reduction (%),Dedup Ratio,Logical Data Reduction (%),Logical Dedup Ratio,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
ERP-JKEZAR-VM2,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,45.48,1.83,95.2,20.85,6/22/2018 12:07,36,0,-107.3,0
ERP-JKEZAR-VM2,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,45.48,1.83,95.2,20.85,6/22/2018 12:07,36,0,-107.3,0
ERP-KJAQUISH-VM,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,49.28,1.97,93.25,14.81,6/22/2018 12:07,58,0,-391.8,0
ERP-KJAQUISH-VM,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,49.28,1.97,93.25,14.81,6/22/2018 12:07,58,0,-391.8,0
ERP-LTRIPP-VM-DR,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,52.84,2.12,96.52,28.75,10/23/2017 7:41,28,0,-11.2,0
ERP-NCOLLINS-VM,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,56.32,2.29,96.08,25.49,6/22/2018 12:07,29.5,0,-331.1,0
ERP-NCOLLINS-VM,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,56.32,2.29,96.08,25.49,6/22/2018 12:07,29.5,0,-331.1,0
ERP-NVISION,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,92.05,12.57,98.91,91.83,9/7/2018 8:14,43.8,0,-26.4,0
ERP-NVISION,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,92.05,12.57,98.91,91.83,9/7/2018 8:14,43.8,0,-26.4,0
ERP-PBROOKS-VM,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,55.06,2.23,95.94,24.62,6/22/2018 12:07,30.5,0,-234.2,0
