"Object Name","Object Type","Location","Cluster Location","SLA Domain","Organization","Data Reduction (%)","Dedup Ratio","Logical Data Reduction (%)","Logical Dedup Ratio","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"ENT-MCAFEEAGENT","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","DII - EAS","74.87","3.98","98.00","50.09","2017-11-06 07:48:28","15.0","0.0","-102.8","0.0"
"ENT-MCAFEEAGENT","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","74.87","3.98","98.00","50.09","2017-11-06 07:48:28","15.0","0.0","-102.8","0.0"
"HRSBX1CRY01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","78.37","4.62","98.00","50.08","2017-10-24 08:28:54","15.0","0.0","-34.9","0.0"
"HRSBX1CRY01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","78.37","4.62","98.00","50.08","2017-10-24 08:28:54","15.0","0.0","-34.9","0.0"
"AZURETEST","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","76.29","4.22","97.95","48.66","2017-10-06 14:37:32","15.8","0.0","-0.5","0.0"
"AZURETEST","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","76.29","4.22","97.95","48.66","2017-10-06 14:37:32","15.8","0.0","-0.5","0.0"
"EAGMLM","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","70.15","3.35","98.01","50.26","2017-10-06 15:16:15","16.0","0.0","-0.8","0.0"
"ANR-TestSearch","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ANR","79.62","4.91","98.61","72.17","2018-08-30 09:01:37","16.7","0.0","-52.6","0.0"
"ANR-TestSearch","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","79.62","4.91","98.61","72.17","2018-08-30 09:01:37","16.7","0.0","-52.6","0.0"
"DEVM-Footprints","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","87.02","7.70","99.12","113.98","2017-10-24 08:09:34","17.0","0.0","-0.0","0.0"
"DEVM-Footprints","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","DII - EAS","87.02","7.70","99.12","113.98","2017-10-24 08:09:34","17.0","0.0","-0.0","0.0"
"DEVM-Footprints","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","87.02","7.70","99.12","113.98","2017-10-24 08:09:34","17.0","0.0","-0.0","0.0"
